Title,Comments
Turn Off Smart TV Snooping Features,"Step 1) purchase raspberry pi  
Step 2) install and configure Pi-Hole  
Step 3) oogle over the thousands of blocked home base calls over the new few hours  
Step 4) slowly white list domains as you find out your smart tv has partnered directly with your app providers to make sure their information is sent to the right mining services or your tv app won’t work"
This live streaming buoy catches a bird pooping all over it 😂,Any Melbourne boat owners are familiar with these guys pooping habits!!
"IoT Image Capture & Transfer - No WiFi , Options?",Bunch of Wifi repeaters maybe? Possibly with Wifi Mesh   capability. You could even have them on a separate wifi network if you don't want to mix them up in your main IP space.
"IoT Image Capture & Transfer - No WiFi , Options?","You can use a SAT modem but they are expensive. 
If you can test GSM network coverage It is highly likely in that area you can find a signal. In that case try and send images using rf to a gateway that connects to the cloud via 2G.
That's how I would approach it. 
Cheers"
"IoT Image Capture & Transfer - No WiFi , Options?",You could check with your Operator if they are interested in running a test case for 5G/Small cells. Depending on the country you are in quite a few are interested for marketing purposes and it would allow you the necessary uplink capacity.
What is usually the gain on Lorawan antennas? (node),"Depends on how big you can make your node device. For a device the size of an iPhone, you should expect 3~0 dBi and about 40-50% efficiency. For a device the size of a golf ball though, probably -0~-3 dBi with 15-20% efficiency."
A DIY weather station based on Node MCU,"Nice, I've been thinking about building a weather station with my Daughter, and then hooking up to Grafana etc...this looks great!"
A DIY weather station based on Node MCU,That's great!
A DIY weather station based on Node MCU,Good job
A DIY weather station based on Node MCU,It’s incredible
A DIY weather station based on Node MCU,Make in India?
Recommendations please: cheapest board with ethernet **without** SD Card,"Someone posted an [ESP32 board from Lilygo](http://www.lilygo.cn/claprod_view.aspx?TypeId=21&Id=1308&FId=t28:21:28) the other day that's under $20 and has ethernet with PoE. While it does have an SD slot, it's not used for boot and doesn't even have to be enabled. 

I even had a discussion with some guy about how the Pi isn't always the best choice, even at the same price for projects where you don't want to boot a full Linux OS just to sample some data from a few sensors and push that over the network. 

Probably about as cheap as you can get for something that supports PoE and boots instantly from onboard flash."
